dream_text,theme
I was being chased by something unknown,fear
I was being chased by something unknown,fear
We was being chased by something unknown,fear
I was being chased by something unknown,fear
I was trapped in a dark room,fear
We was trapped in a dark room,fear
Someone was trapped in a dark room,fear
I was trapped in a dark room,fear
I was drowning in deep water,fear
Someone was drowning in deep water,fear
I was drowning in deep water,fear
Someone was drowning in deep water,fear
I was falling endlessly,fear
They was falling endlessly,fear
We was falling endlessly,fear
Someone was falling endlessly,fear
Something was after me but I couldn’t run,fear
Something was after me but We couldn’t run,fear
Something was after me but Someone couldn’t run,fear
Something was after me but Someone couldn’t run,fear
I was laughing with my friends,happiness
I was laughing with my friends,happiness
I was laughing with my friends,happiness
Someone was laughing with my friends,happiness
I was flying through the sky,happiness
They was flying through the sky,happiness
We was flying through the sky,happiness
We was flying through the sky,happiness
I met someone I loved again,happiness
They met someone They loved again,happiness
They met someone They loved again,happiness
I met someone I loved again,happiness
I found a treasure chest full of gold,happiness
They found a treasure chest full of gold,happiness
I found a treasure chest full of gold,happiness
Someone found a treasure chest full of gold,happiness
Everyone around me was smiling,happiness
Everyone around me was smiling,happiness
Everyone around me was smiling,happiness
Everyone around me was smiling,happiness
I was alone in an empty house,sadness
Someone was alone in an empty house,sadness
Someone was alone in an empty house,sadness
They was alone in an empty house,sadness
I was crying but no one could hear me,sadness
They was crying but no one could hear me,sadness
We was crying but no one could hear me,sadness
We was crying but no one could hear me,sadness
Everything I loved disappeared,sadness
Everything They loved disappeared,sadness
Everything We loved disappeared,sadness
Everything We loved disappeared,sadness
It was raining and I was lost,sadness
Someonet was raining and Someone was lost,sadness
It was raining and I was lost,sadness
It was raining and I was lost,sadness
I said goodbye to someone I loved,sadness
I said goodbye to someone I loved,sadness
Someone said goodbye to someone Someone loved,sadness
We said goodbye to someone We loved,sadness
I was back in my old school,nostalgia
Someone was back in my old school,nostalgia
Someone was back in my old school,nostalgia
Someone was back in my old school,nostalgia
I saw my childhood home again,nostalgia
I saw my childhood home again,nostalgia
Someone saw my childhood home again,nostalgia
We saw my childhood home again,nostalgia
I met an old friend from years ago,nostalgia
Someone met an old friend from years ago,nostalgia
We met an old friend from years ago,nostalgia
Someone met an old friend from years ago,nostalgia
I played with my childhood toys,nostalgia
We played with my childhood toys,nostalgia
Someone played with my childhood toys,nostalgia
I played with my childhood toys,nostalgia
I walked through familiar streets from the past,nostalgia
We walked through familiar streets from the past,nostalgia
We walked through familiar streets from the past,nostalgia
I walked through familiar streets from the past,nostalgia
I was flying over mountains,freedom
We was flying over mountains,freedom
I was flying over mountains,freedom
They was flying over mountains,freedom
I was running across open fields,freedom
We was running across open fields,freedom
Someone was running across open fields,freedom
We was running across open fields,freedom
I was swimming in the ocean,freedom
We was swimming in the ocean,freedom
We was swimming in the ocean,freedom
Someone was swimming in the ocean,freedom
I climbed to the top of a tall cliff,freedom
They climbed to the top of a tall cliff,freedom
Someone climbed to the top of a tall cliff,freedom
We climbed to the top of a tall cliff,freedom
I felt like I could go anywhere,freedom
We felt like We could go anywhere,freedom
We felt like We could go anywhere,freedom
Someone felt like Someone could go anywhere,freedom
I opened a door and saw something unexpected,surprise
They opened a door and saw something unexpected,surprise
We opened a door and saw something unexpected,surprise
They opened a door and saw something unexpected,surprise
I was suddenly somewhere else,surprise
Someone was suddenly somewhere else,surprise
Someone was suddenly somewhere else,surprise
We was suddenly somewhere else,surprise
Someone gave me an unexpected gift,surprise
Someone gave me an unexpected gift,surprise
Someone gave me an unexpected gift,surprise
Someone gave me an unexpected gift,surprise
I woke up and realized I was dreaming,surprise
We woke up and realized We was dreaming,surprise
I woke up and realized I was dreaming,surprise
We woke up and realized We was dreaming,surprise
Everything changed suddenly,surprise
Everything changed suddenly,surprise
Everything changed suddenly,surprise
Everything changed suddenly,surprise
